fips,tariff_exposure_share,tariff_exposure_weighted,emp_total_2017
13287,0.0,0.0,12471
13289,0.0,0.0,10402
13291,0.0,0.0,40465
13293,0.0,0.0,41077
13295,0.0,0.0,84883
13297,0.0002897938237691309,2.8979382376913093e-05,165635
13299,0.0007563110467529354,7.563110467529355e-05,108421
13301,0.0,0.0,8423
13303,0.0,0.0,37482
13305,0.001001627644923,0.00010418716127993705,47922
13307,0.0,0.0,1447
13309,0.0,0.0,4816
13311,0.0,0.0,57461
13313,0.015517216890685883,0.0017470993929052073,422434
13315,0.002413515687851971,0.0002413515687851971,6215
13317,0.004555670290955476,0.0004555670290955476,16463
13319,0.013722862503350308,0.0013722862503350308,18655
13321,0.0021820883049352337,0.00024520695506021715,21539
13999,0.0005768428650453931,6.40731640367627e-05,1014141
15000,0.0026812382957396236,0.0003301229674009443,5830142
15001,0.0024814627789259604,0.00031779271273860464,576273
15003,0.0024451992113845604,0.000309472434873726,4070425
15007,0.0012091461051543728,0.00014579826737288906,193525
15009,0.0013294669306831584,0.00015462877410144942,639354
15999,0.0,0.0,8457
16000,0.009026103196045427,0.001030357118984152,6385923
16001,0.001598669353340537,0.00017944645425416671,1964759
16003,0.0,0.0,6604
16005,5.21556324071028e-05,7.118539017726193e-06,249254
16007,0.0,0.0,9083
16009,0.0,0.0,18444
16011,0.006940810583995656,0.0008799093806745484,101285
16013,0.00043500692976155555,4.7007725588186694e-05,98849
16015,0.0032020182418008927,0.0003202018241800893,10306
16017,0.0002168503010088702,2.5299201784368192e-05,96841
16019,0.0013341742064678554,0.00016754182926855527,397999
16021,0.014224499712859478,0.0015755915831014123,22637
16023,0.0,0.0,32533
16025,0.0,0.0,1620
16027,0.005777228806404203,0.0006676976686221453,511664
16029,0.0034860557768924302,0.00045318725099601593,18072
16031,0.00606670830093932,0.0007453849511049904,78461
16033,0.0,0.0,1953
16035,0.0,0.0,17012
16037,0.0,0.0,8979
16039,0.003906096651356338,0.00045594911835637313,50946
16041,0.0012544629933416965,0.00018816944900125446,20726
16043,0.0,0.0,20794
16045,0.0019219329153891914,0.00019219329153891915,21853
16047,0.0060706525391456285,0.0007044867979882877,44641
16049,0.0016431505626004644,0.00016431505626004645,27995
16051,0.0038616481132750114,0.0004386069461991371,41951
16053,0.004411410849397107,0.000541617801530108,74806
16055,0.0011192786312102672,0.0001369828083551852,477093
16057,0.0029971769329303934,0.00029971769329303937,80409
16059,0.0,0.0,16046
16061,0.007909604519774011,0.0007909604519774011,9735
16063,0.001435455757202912,0.0001435455757202912,9753
16065,0.002159849114766067,0.00026175529602895804,98618
16067,0.007965579394150824,0.0010091331519902949,51597
16069,0.0005706624497232631,5.706624497232632e-05,145445
16071,0.0,0.0,5017
16073,0.0009102591561362176,9.102591561362176e-05,18676
16075,0.002451160624555727,0.00027658366506811246,40797
16077,0.0011808193859739193,0.00014760242324673992,19478
